code,finish,cost_usd,category
DB12,Trenton Swam White,333.0,BASE CABINETS
DB15,Trenton Swam White,361.0,BASE CABINETS
DB18,Trenton Swam White,387.0,BASE CABINETS
DB21,Trenton Swam White,412.0,BASE CABINETS
DB24,Trenton Swam White,444.0,BASE CABINETS
DB27,Trenton Swam White,469.0,BASE CABINETS
DB30,Trenton Swam White,499.0,BASE CABINETS
DB33,Trenton Swam White,525.0,BASE CABINETS
DB36,Trenton Swam White,552.0,BASE CABINETS
DB24-2,Trenton Swam White,444.0,BASE CABINETS
DB30-2,Trenton Swam White,499.0,BASE CABINETS
BF09-PO,Trenton Swam White,255.0,BASE CABINETS
B18TR,Trenton Swam White,281.0,BASE CABINETS
BES12L,Trenton Swam White,191.0,BASE CABINETS
BES12R,Trenton Swam White,191.0,BASE CABINETS
BEC24,Trenton Swam White,258.0,BASE CABINETS
BMC30,Trenton Swam White,388.0,BASE CABINETS
BBC39/42,Trenton Swam White,365.0,BASE CABINETS
BBC42/45,Trenton Swam White,439.0,BASE CABINETS
LSB33,Trenton Swam White,515.0,BASE CABINETS
LSB36,Trenton Swam White,575.0,BASE CABINETS
BF0924,Dallas Cinnamon,146.0,BASE CABINETS
B12,Dallas Cinnamon,217.0,BASE CABINETS
B15,Dallas Cinnamon,237.0,BASE CABINETS
B18,Dallas Cinnamon,259.0,BASE CABINETS
B21,Dallas Cinnamon,279.0,BASE CABINETS
B24,Dallas Cinnamon,313.0,BASE CABINETS
B27,Dallas Cinnamon,335.0,BASE CABINETS
B30,Dallas Cinnamon,359.0,BASE CABINETS
B33,Dallas Cinnamon,378.0,BASE CABINETS
B36,Dallas Cinnamon,399.0,BASE CABINETS
B39,Dallas Cinnamon,467.0,BASE CABINETS
B42,Dallas Cinnamon,517.0,BASE CABINETS
DB12,Dallas Cinnamon,335.0,BASE CABINETS
DB15,Dallas Cinnamon,362.0,BASE CABINETS
DB18,Dallas Cinnamon,390.0,BASE CABINETS
DB21,Dallas Cinnamon,415.0,BASE CABINETS
DB24,Dallas Cinnamon,447.0,BASE CABINETS
DB27,Dallas Cinnamon,473.0,BASE CABINETS
DB30,Dallas Cinnamon,504.0,BASE CABINETS
DB33,Dallas Cinnamon,530.0,BASE CABINETS
DB36,Dallas Cinnamon,563.0,BASE CABINETS
DB24-2,Dallas Cinnamon,447.0,BASE CABINETS
DB30-2,Dallas Cinnamon,504.0,BASE CABINETS
BF09-PO,Dallas Cinnamon,260.0,BASE CABINETS
B18TR,Dallas Cinnamon,286.0,BASE CABINETS
BES12L,Dallas Cinnamon,192.0,BASE CABINETS
BES12R,Dallas Cinnamon,192.0,BASE CABINETS
BEC24,Dallas Cinnamon,276.0,BASE CABINETS
BMC30,Dallas Cinnamon,398.0,BASE CABINETS
BBC39/42,Dallas Cinnamon,369.0,BASE CABINETS
BBC42/45,Dallas Cinnamon,542.0,BASE CABINETS
LSB33,Dallas Cinnamon,519.0,BASE CABINETS
BF0924,Slim Mocha,146.0,BASE CABINETS
B12,Slim Mocha,217.0,BASE CABINETS
B15,Slim Mocha,237.0,BASE CABINETS
B18,Slim Mocha,259.0,BASE CABINETS
B21,Slim Mocha,279.0,BASE CABINETS
B24,Slim Mocha,313.0,BASE CABINETS
B27,Slim Mocha,335.0,BASE CABINETS
B30,Slim Mocha,359.0,BASE CABINETS
B33,Slim Mocha,378.0,BASE CABINETS
B36,Slim Mocha,399.0,BASE CABINETS
B39,Slim Mocha,467.0,BASE CABINETS
B42,Slim Mocha,517.0,BASE CABINETS
DB12,Slim Mocha,335.0,BASE CABINETS
DB15,Slim Mocha,362.0,BASE CABINETS
DB18,Slim Mocha,390.0,BASE CABINETS
DB21,Slim Mocha,415.0,BASE CABINETS
DB24,Slim Mocha,447.0,BASE CABINETS
DB27,Slim Mocha,473.0,BASE CABINETS
DB30,Slim Mocha,504.0,BASE CABINETS
DB33,Slim Mocha,530.0,BASE CABINETS
DB36,Slim Mocha,563.0,BASE CABINETS
DB24-2,Slim Mocha,447.0,BASE CABINETS
DB30-2,Slim Mocha,504.0,BASE CABINETS
BF09-PO,Slim Mocha,260.0,BASE CABINETS
B18TR,Slim Mocha,286.0,BASE CABINETS
BES12L,Slim Mocha,192.0,BASE CABINETS
BES12R,Slim Mocha,192.0,BASE CABINETS
BEC24,Slim Mocha,276.0,BASE CABINETS
BMC30,Slim Mocha,398.0,BASE CABINETS
BBC39/42,Slim Mocha,369.0,BASE CABINETS
BBC42/45,Slim Mocha,542.0,BASE CABINETS
LSB33,Slim Mocha,519.0,BASE CABINETS
BF0924,Houston Blue,146.0,BASE CABINETS
B12,Houston Blue,217.0,BASE CABINETS
B15,Houston Blue,237.0,BASE CABINETS
B18,Houston Blue,259.0,BASE CABINETS
B21,Houston Blue,279.0,BASE CABINETS
B24,Houston Blue,313.0,BASE CABINETS
B27,Houston Blue,335.0,BASE CABINETS
B30,Houston Blue,359.0,BASE CABINETS
B33,Houston Blue,378.0,BASE CABINETS
B36,Houston Blue,399.0,BASE CABINETS
B39,Houston Blue,467.0,BASE CABINETS
B42,Houston Blue,517.0,BASE CABINETS
DB12,Houston Blue,335.0,BASE CABINETS
DB15,Houston Blue,362.0,BASE CABINETS
DB18,Houston Blue,390.0,BASE CABINETS
DB21,Houston Blue,415.0,BASE CABINETS
DB24,Houston Blue,447.0,BASE CABINETS
DB27,Houston Blue,473.0,BASE CABINETS
DB30,Houston Blue,504.0,BASE CABINETS
DB33,Houston Blue,530.0,BASE CABINETS
DB36,Houston Blue,563.0,BASE CABINETS
DB24-2,Houston Blue,447.0,BASE CABINETS
DB30-2,Houston Blue,504.0,BASE CABINETS
BF09-PO,Houston Blue,260.0,BASE CABINETS
B18TR,Houston Blue,286.0,BASE CABINETS
BES12L,Houston Blue,192.0,BASE CABINETS
BES12R,Houston Blue,192.0,BASE CABINETS
BEC24,Houston Blue,276.0,BASE CABINETS
BMC30,Houston Blue,398.0,BASE CABINETS
BBC39/42,Houston Blue,369.0,BASE CABINETS
BBC42/45,Houston Blue,542.0,BASE CABINETS
LSB33,Houston Blue,519.0,BASE CABINETS
BF0924,Houston Ebony,146.0,BASE CABINETS
B12,Houston Ebony,217.0,BASE CABINETS
B15,Houston Ebony,237.0,BASE CABINETS
B18,Houston Ebony,259.0,BASE CABINETS
B21,Houston Ebony,279.0,BASE CABINETS
B24,Houston Ebony,313.0,BASE CABINETS
B27,Houston Ebony,335.0,BASE CABINETS
B30,Houston Ebony,359.0,BASE CABINETS
B33,Houston Ebony,378.0,BASE CABINETS
B36,Houston Ebony,399.0,BASE CABINETS
B39,Houston Ebony,467.0,BASE CABINETS
B42,Houston Ebony,517.0,BASE CABINETS
DB12,Houston Ebony,335.0,BASE CABINETS
DB15,Houston Ebony,362.0,BASE CABINETS
DB18,Houston Ebony,390.0,BASE CABINETS
DB21,Houston Ebony,415.0,BASE CABINETS
DB24,Houston Ebony,447.0,BASE CABINETS
DB27,Houston Ebony,473.0,BASE CABINETS
DB30,Houston Ebony,504.0,BASE CABINETS
DB33,Houston Ebony,530.0,BASE CABINETS
DB36,Houston Ebony,563.0,BASE CABINETS
DB24-2,Houston Ebony,447.0,BASE CABINETS
DB30-2,Houston Ebony,504.0,BASE CABINETS
BF09-PO,Houston Ebony,260.0,BASE CABINETS
B18TR,Houston Ebony,286.0,BASE CABINETS
BES12L,Houston Ebony,192.0,BASE CABINETS
BES12R,Houston Ebony,192.0,BASE CABINETS
BEC24,Houston Ebony,276.0,BASE CABINETS
BMC30,Houston Ebony,398.0,BASE CABINETS
BBC39/42,Houston Ebony,369.0,BASE CABINETS
BBC42/45,Houston Ebony,542.0,BASE CABINETS
LSB33,Houston Ebony,519.0,BASE CABINETS
BF0924,Houston Trenton Fairy Green,146.0,BASE CABINETS
B12,Houston Trenton Fairy Green,217.0,BASE CABINETS
B15,Houston Trenton Fairy Green,237.0,BASE CABINETS
B18,Houston Trenton Fairy Green,259.0,BASE CABINETS
B21,Houston Trenton Fairy Green,279.0,BASE CABINETS
B24,Houston Trenton Fairy Green,313.0,BASE CABINETS
B27,Houston Trenton Fairy Green,335.0,BASE CABINETS
B30,Houston Trenton Fairy Green,359.0,BASE CABINETS
B33,Houston Trenton Fairy Green,378.0,BASE CABINETS
B36,Houston Trenton Fairy Green,399.0,BASE CABINETS
B39,Houston Trenton Fairy Green,467.0,BASE CABINETS
B42,Houston Trenton Fairy Green,517.0,BASE CABINETS
DB12,Houston Trenton Fairy Green,335.0,BASE CABINETS
DB15,Houston Trenton Fairy Green,362.0,BASE CABINETS
DB18,Houston Trenton Fairy Green,390.0,BASE CABINETS
DB21,Houston Trenton Fairy Green,415.0,BASE CABINETS
DB24,Houston Trenton Fairy Green,447.0,BASE CABINETS
DB27,Houston Trenton Fairy Green,473.0,BASE CABINETS
DB30,Houston Trenton Fairy Green,504.0,BASE CABINETS
DB33,Houston Trenton Fairy Green,530.0,BASE CABINETS
DB36,Houston Trenton Fairy Green,563.0,BASE CABINETS
DB24-2,Houston Trenton Fairy Green,447.0,BASE CABINETS
DB30-2,Houston Trenton Fairy Green,504.0,BASE CABINETS
BF09-PO,Houston Trenton Fairy Green,260.0,BASE CABINETS
B18TR,Houston Trenton Fairy Green,286.0,BASE CABINETS
BES12L,Houston Trenton Fairy Green,192.0,BASE CABINETS
BES12R,Houston Trenton Fairy Green,192.0,BASE CABINETS
BEC24,Houston Trenton Fairy Green,276.0,BASE CABINETS
BMC30,Houston Trenton Fairy Green,398.0,BASE CABINETS
BBC39/42,Houston Trenton Fairy Green,369.0,BASE CABINETS
BBC42/45,Houston Trenton Fairy Green,542.0,BASE CABINETS
LSB33,Houston Trenton Fairy Green,519.0,BASE CABINETS
SB24,Houston Frost,207.0,SINK BASE CABINET
SB30,Houston Frost,225.0,SINK BASE CABINET
SB33,Houston Frost,238.0,SINK BASE CABINET
SB36,Houston Frost,252.0,SINK BASE CABINET
SB39,Houston Frost,291.0,SINK BASE CABINET
SB42,Houston Frost,306.0,SINK BASE CABINET
FS36,Houston Frost,302.0,SINK BASE CABINET
DSB36,Houston Frost,286.0,SINK BASE CABINET
DSB42,Houston Frost,287.0,SINK BASE CABINET
SB24,Houston Ash,228.0,SINK BASE CABINET
SB30,Houston Ash,246.0,SINK BASE CABINET
SB33,Houston Ash,262.0,SINK BASE CABINET
SB36,Houston Ash,277.0,SINK BASE CABINET
SB39,Houston Ash,321.0,SINK BASE CABINET
SB42,Houston Ash,337.0,SINK BASE CABINET
FS36,Houston Ash,332.0,SINK BASE CABINET
DSB36,Houston Ash,314.0,SINK BASE CABINET
DSB42,Houston Ash,347.0,SINK BASE CABINET
SB24,Houston Dark Grey,228.0,SINK BASE CABINET
SB30,Houston Dark Grey,246.0,SINK BASE CABINET
SB33,Houston Dark Grey,262.0,SINK BASE CABINET
SB36,Houston Dark Grey,277.0,SINK BASE CABINET
SB39,Houston Dark Grey,321.0,SINK BASE CABINET
SB42,Houston Dark Grey,337.0,SINK BASE CABINET
FS36,Houston Dark Grey,332.0,SINK BASE CABINET
DSB36,Houston Dark Grey,314.0,SINK BASE CABINET
DSB42,Houston Dark Grey,347.0,SINK BASE CABINET
SB24,Slim Frost,228.0,SINK BASE CABINET
SB30,Slim Frost,246.0,SINK BASE CABINET
SB33,Slim Frost,262.0,SINK BASE CABINET
SB36,Slim Frost,277.0,SINK BASE CABINET
SB39,Slim Frost,321.0,SINK BASE CABINET
SB42,Slim Frost,337.0,SINK BASE CABINET
FS36,Slim Frost,332.0,SINK BASE CABINET
DSB36,Slim Frost,314.0,SINK BASE CABINET
DSB42,Slim Frost,347.0,SINK BASE CABINET
SB24,Houston Light Grey,238.0,SINK BASE CABINET
SB30,Houston Light Grey,269.0,SINK BASE CABINET
SB33,Houston Light Grey,285.0,SINK BASE CABINET
SB36,Houston Light Grey,302.0,SINK BASE CABINET
SB39,Houston Light Grey,350.0,SINK BASE CABINET
SB42,Houston Light Grey,367.0,SINK BASE CABINET
FS36,Houston Light Grey,362.0,SINK BASE CABINET
DSB36,Houston Light Grey,342.0,SINK BASE CABINET
DSB42,Houston Light Grey,347.0,SINK BASE CABINET
SB24,Houston Timber,238.0,SINK BASE CABINET
SB30,Houston Timber,269.0,SINK BASE CABINET
SB33,Houston Timber,285.0,SINK BASE CABINET
SB36,Houston Timber,302.0,SINK BASE CABINET
SB39,Houston Timber,350.0,SINK BASE CABINET
SB42,Houston Timber,367.0,SINK BASE CABINET
FS36,Houston Timber,362.0,SINK BASE CABINET
DSB36,Houston Timber,342.0,SINK BASE CABINET
DSB42,Houston Timber,347.0,SINK BASE CABINET
SB24,Dallas Ivory,248.0,SINK BASE CABINET
SB30,Dallas Ivory,276.0,SINK BASE CABINET
SB33,Dallas Ivory,291.0,SINK BASE CABINET
SB36,Dallas Ivory,310.0,SINK BASE CABINET
SB39,Dallas Ivory,361.0,SINK BASE CABINET
SB42,Dallas Ivory,378.0,SINK BASE CABINET
FS36,Dallas Ivory,372.0,SINK BASE CABINET
DSB36,Dallas Ivory,349.0,SINK BASE CABINET
DSB42,Dallas Ivory,353.0,SINK BASE CABINET
SB24,Trenton Swam White,248.0,SINK BASE CABINET
SB30,Trenton Swam White,276.0,SINK BASE CABINET
SB33,Trenton Swam White,291.0,SINK BASE CABINET
SB36,Trenton Swam White,310.0,SINK BASE CABINET
SB39,Trenton Swam White,361.0,SINK BASE CABINET
SB42,Trenton Swam White,378.0,SINK BASE CABINET
FS36,Trenton Swam White,372.0,SINK BASE CABINET
DSB36,Trenton Swam White,349.0,SINK BASE CABINET
DSB42,Trenton Swam White,353.0,SINK BASE CABINET
SB24,Dallas Cinnamon,254.0,SINK BASE CABINET
SB30,Dallas Cinnamon,282.0,SINK BASE CABINET
SB33,Dallas Cinnamon,293.0,SINK BASE CABINET
SB36,Dallas Cinnamon,314.0,SINK BASE CABINET
SB39,Dallas Cinnamon,366.0,SINK BASE CABINET
SB42,Dallas Cinnamon,386.0,SINK BASE CABINET
FS36,Dallas Cinnamon,376.0,SINK BASE CABINET
DSB36,Dallas Cinnamon,355.0,SINK BASE CABINET
DSB42,Dallas Cinnamon,359.0,SINK BASE CABINET
SB24,Slim Mocha,254.0,SINK BASE CABINET
SB30,Slim Mocha,282.0,SINK BASE CABINET
SB33,Slim Mocha,293.0,SINK BASE CABINET
SB36,Slim Mocha,314.0,SINK BASE CABINET
SB39,Slim Mocha,366.0,SINK BASE CABINET
SB42,Slim Mocha,386.0,SINK BASE CABINET
FS36,Slim Mocha,376.0,SINK BASE CABINET
DSB36,Slim Mocha,355.0,SINK BASE CABINET
DSB42,Slim Mocha,359.0,SINK BASE CABINET
SB24,Houston Blue,254.0,SINK BASE CABINET
SB30,Houston Blue,282.0,SINK BASE CABINET
SB33,Houston Blue,293.0,SINK BASE CABINET
SB36,Houston Blue,314.0,SINK BASE CABINET
SB39,Houston Blue,366.0,SINK BASE CABINET
SB42,Houston Blue,386.0,SINK BASE CABINET
FS36,Houston Blue,376.0,SINK BASE CABINET
DSB36,Houston Blue,355.0,SINK BASE CABINET
DSB42,Houston Blue,359.0,SINK BASE CABINET
SB24,Houston Ebony,254.0,SINK BASE CABINET
SB30,Houston Ebony,282.0,SINK BASE CABINET
SB33,Houston Ebony,293.0,SINK BASE CABINET
SB36,Houston Ebony,314.0,SINK BASE CABINET
SB39,Houston Ebony,366.0,SINK BASE CABINET
SB42,Houston Ebony,386.0,SINK BASE CABINET
FS36,Houston Ebony,376.0,SINK BASE CABINET
